Model,Displ,Cyl,Trans,Drive,Fuel,Sales Area,Stnd,Stnd Description,Underhood ID,Veh Class,Smog Rating,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay
MITSUBISHI Lancer,2,4,SCV-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,GMTXV02.0G5P,small car,7,27,35,30,7,Yes
MITSUBISHI i-MiEV,N/A,N/A,Auto-1,2WD,Electricity,FA,B1,Federal Tier 2 Bin 1,GMTXV00.0EAT,small car,10,126,99,112,10,Elite
MITSUBISHI i-MiEV,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,GMTXV00.0EAT,small car,10,126,99,112,10,Elite
NISSAN Juke,1.6,4,Man-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,GNSXV01.6GDA,station wagon,6,28,34,30,7,Yes
NISSAN Juke,1.6,4,SCV-7,2WD,Gasoline,CA,U2,California LEV-II ULEV,GNSXV01.6GDA,station wagon,6,28,32,30,7,Yes
NISSAN Juke,1.6,4,SCV-7,4WD,Gasoline,CA,U2,California LEV-II ULEV,GNSXV01.6GDA,station wagon,6,26,31,28,7,Yes
NISSAN Leaf,N/A,N/A,Auto-1,2WD,Electricity,FA,B1,Federal Tier 2 Bin 1,GNSXV0000LLA,midsize car,10,126,101,114,10,Elite
NISSAN Leaf,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,GNSXV0000LLA,midsize car,10,126,101,114,10,Elite
NISSAN Leaf,N/A,N/A,Auto-1,2WD,Electricity,FA,B1,Federal Tier 2 Bin 1,GNSXV0000LLB,midsize car,10,124,101,112,10,Elite
NISSAN Leaf,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,GNSXV0000LLB,midsize car,10,124,101,112,10,Elite
NISSAN Rogue,2.5,4,CVT,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,GNSXT02.525A,small SUV,7,26,33,28,7,Yes
NISSAN Rogue,2.5,4,CVT,2WD,Gasoline,CA,U2,California LEV-II ULEV,GNSXT02.5G5D,small SUV,6,26,33,28,7,Yes
NISSAN Rogue,2.5,4,CVT,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,GNSXT02.525A,small SUV,7,25,32,28,7,Yes
NISSAN Rogue,2.5,4,CVT,4WD,Gasoline,CA,U2,California LEV-II ULEV,GNSXT02.5G5B,small SUV,6,25,32,28,7,Yes
NISSAN Versa,1.6,4,Auto-4,2WD,Gasoline,CA,U2,California LEV-II ULEV,GNSXV01.6G4A,small car,6,26,35,30,7,Yes
NISSAN Versa,1.6,4,CVT,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,GNSXV01.6G4A,small car,5,31,40,35,8,Yes
NISSAN Versa,1.6,4,CVT,2WD,Gasoline,CA,U2,California LEV-II ULEV,GNSXV01.6G4A,small car,6,31,40,35,8,Yes
NISSAN Versa,1.6,4,Man-5,2WD,Gasoline,CA,U2,California LEV-II ULEV,GNSXV01.6G4A,small car,6,27,36,30,7,Yes
PORSCHE Cayenne S e-Hybrid,3,6,AutoMan-8,4WD,Gasoline/Electricity,FA,B5,Federal Tier 2 Bin 5,GPRXJ03.0PHV,standard SUV,5,21/48,24/46,22/47,8,Yes
PORSCHE Cayenne S e-Hybrid,3,6,AutoMan-8,4WD,Gasoline/Electricity,CA,U2,California LEV-II ULEV,GPRXJ03.0PHV,standard SUV,6,21/48,24/46,22/47,8,Yes
PORSCHE Panamera S E-Hybrid,3,6,AMS-8,2WD,Gasoline/Electricity,FA,B5,Federal Tier 2 Bin 5,GPRXJ03.0PHV,large car,5,23/43,29/66,25/51,9,Yes
PORSCHE Panamera S E-Hybrid,3,6,AMS-8,2WD,Gasoline/Electricity,CA,U2,California LEV-II ULEV,GPRXJ03.0PHV,large car,6,23/43,29/66,25/51,9,Yes
SCION iA,1.5,4,Man-6,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,GTYXV01.5FEA,small car,5,31,41,35,8,Yes
SCION iA,1.5,4,Man-6,2WD,Gasoline,CA,L2ULEV125,California LEV-II ULEV125,GTYXV01.5FEA,small car,6,31,41,35,8,Yes
SCION iA,1.5,4,SemiAuto-6,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,GTYXV01.5FEA,small car,5,33,42,37,8,Yes
SCION iA,1.5,4,SemiAuto-6,2WD,Gasoline,CA,L2ULEV125,California LEV-II ULEV125,GTYXV01.5FEA,small car,6,33,42,37,8,Yes
SCION iM,1.8,4,Man-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,GTYXV01.8MEB,midsize car,7,27,36,31,7,Yes
SCION iM,1.8,4,SCV-7,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,GTYXV01.8MEB,midsize car,5,28,37,32,8,Yes
SCION iM,1.8,4,SCV-7,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,GTYXV01.8MEB,midsize car,7,28,37,32,8,Yes
SMART ForTwo Cabriolet,N/A,N/A,Auto-1,2WD,Electricity,FA,B1,Federal Tier 2 Bin 1,GMBXV00.0ED1,small car,10,122,93,107,10,Elite
SMART ForTwo Cabriolet,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,GMBXV00.0ED1,small car,10,122,93,107,10,Elite
SMART ForTwo Coupe,.9,3,AutoMan-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,GMBXV00.9U2A,small car,7,34,39,36,8,Yes
SMART ForTwo Coupe,.9,3,AutoMan-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,GMBXV00.9U2A,small car,7,34,39,36,8,Yes
